"quantity","min","max","point","lwr","upr","phat_lwr","phat_upr","type","method","n_boot","batch_size","nu","replicate","true_value","covers"
"HPD_L",0.0447130877761029,32.9231740550103,0.054750973090924,0.0421795138247166,0.071436138668394,NA,NA,"normal","bootstrap",300,100,"0.5",123,0.0260914808169586,FALSE
"HPD_L",0.0377151568481189,27.790045973428,0.0437717722827127,0.0223504250916526,0.0581115968498197,NA,NA,"normal","bootstrap",300,6,"0.2",62,0.0260914808169586,TRUE
"HPD_L",0.0337944269131431,51.0089676921691,0.0337944269131431,0.0189494487718804,0.0408216319835641,NA,NA,"normal","bootstrap",300,91,"estimated",2,0.0260914808169586,TRUE
"HPD_L",0.0337944269131431,51.0089676921691,0.0337944269131431,0.0337944269131431,0.0560978364827694,NA,NA,"percent","bootstrap",300,91,"estimated",2,0.0260914808169586,FALSE
"HPD_L",0.0337944269131431,51.0089676921691,0.0337944269131431,0.0114910173435168,0.0337944269131431,NA,NA,"basic","bootstrap",300,91,"estimated",2,0.0260914808169586,TRUE
"HPD_L",0.0243684390319759,42.4612418632944,0.0385457001357576,0.025116695590148,0.0571873425366425,NA,NA,"normal","bootstrap",300,100,"0.5",184,0.0260914808169586,TRUE
"HPD_L",0.0447130877761029,32.9231740550103,0.054750973090924,0.0427946590620129,0.0711047202865267,NA,NA,"normal","bootstrap",300,6,"0.2",123,0.0260914808169586,FALSE
"HPD_L",0.0269323815213376,28.5965202571824,0.0269323815213376,-0.00553860652003499,0.0362717498047053,NA,NA,"normal","bootstrap",300,86,"estimated",63,0.0260914808169586,TRUE
"HPD_L",0.0337944269131431,51.0089676921691,0.0337944269131431,0.0226945673332159,0.0384724820019584,NA,NA,"normal","bootstrap",300,100,"0.5",2,0.0260914808169586,TRUE
"HPD_L",0.0337944269131431,51.0089676921691,0.0337944269131431,0.0337944269131431,0.0453252057144783,NA,NA,"percent","bootstrap",300,100,"0.5",2,0.0260914808169586,FALSE
"HPD_L",0.0337944269131431,51.0089676921691,0.0337944269131431,0.0222636481118079,0.0337944269131431,NA,NA,"basic","bootstrap",300,100,"0.5",2,0.0260914808169586,TRUE
"HPD_L",0.0243684390319759,42.4612418632944,0.0385457001357576,0.0255581438357685,0.0565666018007165,NA,NA,"normal","bootstrap",300,6,"0.2",184,0.0260914808169586,TRUE
"HPD_L",0.0189810315853179,55.2739849087432,0.0235055118320285,0.000131833559182743,0.037475732875913,NA,NA,"normal","bootstrap",300,77,"estimated",124,0.0260914808169586,TRUE
"HPD_L",0.0269323815213376,28.5965202571824,0.0269323815213376,-0.00537653048071211,0.0352622067561884,NA,NA,"normal","bootstrap",300,100,"0.5",63,0.0260914808169586,TRUE
"HPD_L",0.0337944269131431,51.0089676921691,0.0337944269131431,0.0224486063849753,0.0379521131780436,NA,NA,"normal","bootstrap",300,6,"0.2",2,0.0260914808169586,TRUE
"HPD_L",0.0337944269131431,51.0089676921691,0.0337944269131431,0.0337944269131431,0.0453252057144783,NA,NA,"percent","bootstrap",300,6,"0.2",2,0.0260914808169586,FALSE
"HPD_L",0.0337944269131431,51.0089676921691,0.0337944269131431,0.0222636481118079,0.0337944269131431,NA,NA,"basic","bootstrap",300,6,"0.2",2,0.0260914808169586,TRUE
"HPD_L",0.0191086975545614,43.6378239397202,0.0191086975545614,-0.0108686608433808,0.0290173240422089,NA,NA,"normal","bootstrap",300,85,"estimated",185,0.0260914808169586,TRUE
